time,x,y,theta,cmd_vel_linear,cmd_vel_angular
27300822,0.041769885015939354,4.237826166511079,1.5707990893650385,0.15,-1.9337991095040694e-05
61278887,0.041769890621346034,4.242926188934571,1.5707990909526748,0.15,-1.9349104447610273e-05
95360668,0.04176989607571652,4.24802621953079,1.5707987290723366,0.15,-1.681594206996557e-05
129601622,0.04176991535030862,4.25312622318971,1.5707977231187484,0.15,-9.774266933757546e-06
163714413,0.04176993751349235,4.25822622300643,1.5707970238829723,0.15,-4.879616509453632e-06
197788652,0.041769963619540385,4.263326214222296,1.570796829683317,0.15,-3.520218937532202e-06
231831462,0.04176999692154024,4.268426191775287,1.5707967137216936,0.15,-2.7084875759218314e-06
265852131,0.0417700305896562,4.27352618069206,1.570796548643293,0.15,-1.5529387709428013e-06
299888096,0.041770060276401004,4.278626180060829,1.5707964568859873,0.15,-9.106376328246799e-07
333870002,0.04177009358883862,4.283726187544542,1.5707964261133749,0.15,-6.952293474075612e-07
367956533,0.04177012787872863,4.2888261991728,1.570796401823403,0.15,-5.251995449186412e-07
402256434,0.04177016094947163,4.29392621689491,1.570796379643005,0.15,-3.699367576909694e-07
436432922,0.041770192488697885,4.299026238822403,1.5707963699818757,0.15,-3.023088534452671e-07
470554794,0.041770219543151445,4.304126252587205,1.5707963573450396,0.15,-2.138510012033286e-07
504653268,0.04177024349907162,4.3092262587728145,1.5707963515933676,0.15,-1.7358929721219343e-07
538833458,0.041770269592229944,4.31432623978404,1.5707963584447884,0.15,-2.2154924292977425e-07
572923132,0.04177028754645411,4.319426220484764,1.570796362307824,0.15,-2.485904925265341e-07
606859291,0.041770305357834166,4.3245262047569835,1.570796365529143,0.15,-2.711397254334657e-07
640839103,0.04177032051670405,4.329626199772849,1.5707963686788342,0.15,-2.9318756365303063e-07
674829042,0.041770333013904225,4.334726205758518,1.5707963539555327,0.15,-1.901244528588623e-07
709011048,0.041770346564034555,4.3398262225803,1.5707963381759191,0.15,-7.966715752005367e-08
743238382,0.04177036568979524,4.3449262453283035,1.5707963301189705,0.15,-2.3268517099744747e-08
777457823,0.04177038891296804,4.350026256952445,1.5707963194762065,0.15,5.123083099982387e-08
811572082,0.04177041242400385,4.3551262649784555,1.5707963011410857,0.15,1.7957667651125364e-07
845875475,0.04177043832498537,4.360226259930776,1.570796301586778,0.15,1.7645682935751555e-07
880179426,0.041770472145083816,4.36532624085156,1.5707963097332547,0.15,1.1943149290216417e-07
914388811,0.04177050535983456,4.370426236720446,1.570796323992846,0.15,1.9614353724051687e-08
948605040,0.04177053712777013,4.375526242895899,1.5707963289720264,0.15,-1.5239908813884015e-08
982834609,0.04177056911735785,4.380626259226105,1.570796324334672,0.15,1.7221571415624028e-08
1016896485,0.04177060473971083,4.385726269195248,1.5707963256070003,0.15,8.315273543452198e-09
1050924977,0.041770638277764574,4.390826275802912,1.5707963221491903,0.15,3.25199439505117e-08
1085163416,0.04177067190154714,4.395926268401425,1.570796330178671,0.15,-2.3686420837203103e-08
1119389563,0.04177070082790589,4.401026265060332,1.570796340952271,0.15,-9.910162100226862e-08
1153246661,0.041770733416649046,4.406126243520932,1.570796351998546,0.15,-1.7642554605442665e-07
1187497532,0.04177076110765674,4.411226237035895,1.5707963635240207,0.15,-2.571038696420544e-07
1221702306,0.04177078317992188,4.416326241133289,1.5707963698714473,0.15,-3.0153585558151156e-07
1255844432,0.041770801711182866,4.421426255842299,1.5707963640632365,0.15,-2.6087837961738054e-07
1289911687,0.04177082021546596,4.426526276416704,1.5707963578051365,0.15,-2.170716793365326e-07
1323963855,0.04177083733297891,4.431626285964058,1.5707963490974814,0.15,-1.5611809397428042e-07
1358048082,0.04177085042263425,4.436726292169058,1.5707963309391977,0.15,-2.9010107338738088e-08
1392222405,0.04177086351095815,4.441826285651437,1.5707963270931256,0.15,-2.0876028668298595e-09
1426529919,0.04177088408779753,4.446926265495032,1.5707963287246902,0.15,-1.3508555655001415e-08
1460581528,0.04177090523806621,4.45202626068037,1.5707963360055999,0.15,-6.447492339200143e-08
1494629925,0.04177092721493519,4.457126266564838,1.5707963332535015,0.15,-4.521023480829689e-08
1528829811,0.04177095217478831,4.4622262829968715,1.570796320070958,0.15,4.7067570005041246e-08
1563132855,0.04177098288215598,4.467326305034234,1.5707963131947076,0.15,9.520132302548967e-08
1597328341,0.04177101498364479,4.472426306742909,1.5707963040216117,0.15,1.5941299396262904e-07
1631468860,0.041771049136460216,4.477526300185976,1.5707962979187347,0.15,2.021331335211435e-07
1665614129,0.04177108041462249,4.482626297597969,1.5707963114520826,0.15,1.0739969696138892e-07
1699727689,0.04177111740333535,4.4877262765812596,1.5707963268477116,0.15,-3.697060507730646e-10
1733988548,0.041771151904221156,4.492826270300615,1.5707963392008346,0.15,-8.68415667429504e-08
1767892441,0.041771183290251666,4.497926274222096,1.5707963487798997,0.15,-1.5389502234173864e-07
1802095749,0.04177121328438278,4.503026288365864,1.5707963496476423,0.15,-1.599692198959739e-07
1836411364,0.04177124445216985,4.50812630798886,1.5707963509151752,0.15,-1.688419506798659e-07
1870525064,0.041771273487244645,4.513226322294353,1.5707963544718284,0.15,-1.9373852310645476e-07
1904728931,0.04177129654547133,4.5183263384571255,1.5707963451966147,0.15,-1.288120267736701e-07
1938858695,0.04177131908708456,4.523426330115861,1.5707963428102099,0.15,-1.1210719301437722e-07
1972816087,0.041771338651257345,4.528526313938139,1.5707963519043038,0.15,-1.7576585080860783e-07
2006880059,0.04177135181391164,4.53362630249607,1.570796358931186,0.15,-2.249540260577164e-07
